phase,distance_node_4,distance_node_7,Time_4_1,Time_4_2,Time_4_3,Time_7_1,Time_7_2,Time_7_3
1,1000,19000,0.01000305,0.01000305,0.01000305,0.010057625,0.010057625,0.010057625
1,100,19900,0.010000325,0.010000325,0.010000325,0.01006035,0.010060375,0.010060375
1,1050,18950,0.0100032,0.0100032,0.0100032,0.0100575,0.0100575,0.0100575
1,1100,18900,0.01000335,0.01000335,0.01000335,0.010057325,0.010057325,0.010057325
1,1150,18850,0.0100035,0.0100035,0.0100035,0.01005715,0.010057175,0.010057175
1,1200,18800,0.01000365,0.01000365,0.01000365,0.010057,0.010057025,0.010057025
1,1250,18750,0.0100038,0.0100038,0.0100038,0.01005685,0.010056875,0.010056875
1,1300,18700,0.01000395,0.010003975,0.010003975,0.010056725,0.01005675,0.01005675
1,1350,18650,0.0100041,0.0100041,0.0100041,0.01005655,0.010056575,0.010056575
1,1400,18600,0.01000425,0.01000425,0.01000425,0.0100564,0.0100564,0.0100564
1,1450,18550,0.0100044,0.0100044,0.0100044,0.01005625,0.01005625,0.01005625
1,1500,18500,0.010004575,0.010004575,0.010004575,0.0100561,0.0100561,0.0100561
1,150,19850,0.010000475,0.010000475,0.010000475,0.0100602,0.010060225,0.010060225
1,1550,18450,0.010004725,0.010004725,0.010004725,0.010055975,0.010056,0.010056
1,1600,18400,0.010004875,0.010004875,0.010004875,0.0100558,0.0100558,0.0100558
1,1650,18350,0.010005025,0.010005025,0.010005025,0.01005565,0.01005565,0.01005565
1,1700,18300,0.010005175,0.010005175,0.010005175,0.0100555,0.0100555,0.0100555
1,1750,18250,0.010005325,0.010005325,0.010005325,0.01005535,0.01005535,0.01005535
1,1800,18200,0.010005475,0.010005475,0.010005475,0.010055225,0.01005525,0.01005525
1,1850,18150,0.010005625,0.010005625,0.010005625,0.01005505,0.01005505,0.01005505
1,1900,18100,0.010005775,0.010005775,0.010005775,0.0100549,0.0100549,0.0100549
1,1950,18050,0.010005925,0.010005925,0.010005925,0.010054725,0.01005475,0.01005475
1,2000,18000,0.010006075,0.010006075,0.010006075,0.010054575,0.0100546,0.0100546
1,200,19800,0.010000625,0.010000625,0.010000625,0.01006005,0.010060075,0.010060075
1,2050,17950,0.010006225,0.01000625,0.01000625,0.01005445,0.010054475,0.010054475
1,2100,17900,0.010006375,0.010006375,0.010006375,0.010054275,0.0100543,0.0100543
1,2150,17850,0.010006525,0.010006525,0.010006525,0.010054125,0.010054125,0.010054125
1,2200,17800,0.010006675,0.010006675,0.010006675,0.010053975,0.010053975,0.010053975
1,2250,17750,0.01000685,0.01000685,0.01000685,0.010053825,0.010053825,0.010053825
1,2300,17700,0.010007,0.010007,0.010007,0.0100537,0.010053725,0.010053725
1,2350,17650,0.01000715,0.01000715,0.01000715,0.010053525,0.010053525,0.010053525
1,2400,17600,0.0100073,0.0100073,0.0100073,0.010053375,0.010053375,0.010053375
1,2450,17550,0.01000745,0.01000745,0.01000745,0.010053225,0.010053225,0.010053225
1,2500,17500,0.0100076,0.0100076,0.0100076,0.010053075,0.010053075,0.010053075
1,250,19750,0.010000775,0.010000775,0.010000775,0.0100599,0.0100599,0.0100599
1,2550,17450,0.01000775,0.01000775,0.01000775,0.01005295,0.010052975,0.010052975
1,2600,17400,0.0100079,0.0100079,0.0100079,0.010052775,0.010052775,0.010052775
1,2650,17350,0.01000805,0.01000805,0.01000805,0.010052625,0.010052625,0.010052625
